timestamp,gate_error,gate_length,gate_error.date,gate_length.date
2020-02-11T08:00:17+00:00,0.000675864247769841,35.5555555555556,2020-02-10T10:06:14+00:00,2020-02-10T11:32:27+00:00
2020-02-11T12:00:17+00:00,0.00062419641999726,35.5555555555556,2020-02-11T09:34:14+00:00,2020-02-11T10:53:49+00:00
