Q0,Q1,Q2,Q3,Q4
0,433.777777777778,0,0,0
369.777777777778,0,682.666666666667,583.111111111111,0
0,618.666666666667,0,0,0
0,519.111111111111,0,0,462.222222222222
0,0,0,526.222222222222,0
