Q0,Q1,Q2,Q3,Q4
0,284.444444444444,0,0,0
337.777777777778,0,352,668.444444444444,0
0,298.666666666667,0,0,0
0,721.777777777778,0,0,480
0,0,0,426.666666666667,0
