timestamp,T1,T2,frequency,readout_error,prob_meas0_prep1,prob_meas1_prep0,T1.date,T2.date,frequency.date,readout_error.date,prob_meas0_prep1.date,prob_meas1_prep0.date
2020-02-11T08:00:12+00:00,70.3486695317454,51.1979204415109,5.02632163208305,0.03,0.051,0.009,2020-02-10T07:38:39+00:00,2020-02-10T07:43:59+00:00,2020-02-10T10:10:04+00:00,2020-02-10T07:37:56+00:00,2020-02-10T07:37:56+00:00,2020-02-10T07:37:56+00:00
2020-02-11T09:00:12+00:00,70.3486695317454,51.1979204415109,5.02632163208305,0.03,0.051,0.009,T1,T2,frequency,readout_error,prob_meas0_prep1,prob_meas1_prep0
2020-02-11T10:00:12+00:00,2020-02-10T07:38:39+00:00,2020-02-10T07:43:59+00:00,2020-02-10T10:10:04+00:00,2020-02-10T07:37:56+00:00,2020-02-10T07:37:56+00:00,2020-02-10T07:37:56+00:00,µs,µs,GHz,,,
2020-02-11T11:00:13+00:00,T1,T2,frequency,readout_error,prob_meas0_prep1,prob_meas1_prep0,70.3486695317454,51.1979204415109,5.02632163208305,0.03,0.051,0.009
2020-02-11T12:00:12+00:00,55.6477731112438,52.4129449834466,5.02632845762836,0.025,0.04,0.01,T1,T2,frequency,readout_error,prob_meas0_prep1,prob_meas1_prep0
2020-02-11T14:00:12+00:00,T1,T2,frequency,readout_error,prob_meas0_prep1,prob_meas1_prep0,µs,µs,GHz,,,
2020-02-11T15:32:09+00:00,55.6477731112438,52.4129449834466,5.02632845762836,0.025,0.04,0.01,2020-02-11T08:10:44+00:00,2020-02-11T08:16:05+00:00,2020-02-11T11:18:14+00:00,2020-02-11T08:06:14+00:00,2020-02-11T08:06:14+00:00,2020-02-11T08:06:14+00:00
