Q0,Q1,Q2,Q3,Q4
0,270.222222222222,0,0,0
234.666666666667,0,391.111111111111,611.555555555556,0
0,426.666666666667,0,0,0
0,576,0,0,305.777777777778
0,0,0,270.222222222222,0
