Q0,Q1,Q2,Q3,Q4
0,369.777777777778,448,0,0
405.333333333333,0,512,0,0
483.555555555556,547.555555555556,0,462.222222222222,391.111111111111
0,0,426.666666666667,0,412.444444444444
0,0,355.555555555556,448,0
