Q0,Q1,Q2,Q3,Q4
0,241.777777777778,0,0,0
277.333333333333,0,341.333333333333,433.777777777778,0
0,305.777777777778,0,0,0
0,469.333333333333,0,0,853.333333333333
0,0,0,817.777777777778,0
