timestamp,queue
2020-02-07 01:09:38,3
2020-02-07 01:10:09,2
2020-02-07 01:11:08,4
2020-02-07 01:12:08,3
2020-02-07 01:13:09,3
2020-02-07 01:14:08,2
2020-02-07 01:15:09,3
2020-02-07 01:16:09,2
2020-02-07 01:17:09,2
2020-02-07 01:18:08,4
2020-02-07 01:19:09,3
2020-02-07 01:20:09,2
2020-02-07 01:21:09,4
2020-02-07 01:22:09,4
2020-02-07 01:23:09,2
2020-02-07 01:24:08,4
2020-02-07 01:25:09,4
2020-02-07 01:26:08,3
2020-02-07 01:27:08,1
2020-02-07 01:28:09,4
2020-02-07 01:29:08,3
2020-02-07 01:30:09,2
2020-02-07 01:31:07,3
2020-02-07 01:32:08,3
2020-02-07 01:33:07,2
2020-02-07 01:34:08,4
2020-02-07 01:35:07,4
2020-02-07 01:36:08,2
2020-02-07 01:37:07,4
2020-02-07 01:38:07,4
2020-02-07 01:39:08,3
2020-02-07 01:40:08,1
2020-02-07 01:41:07,3
2020-02-07 01:42:07,3
2020-02-07 01:43:07,2
2020-02-07 01:44:07,4
2020-02-07 01:45:07,3
2020-02-07 01:46:08,2
2020-02-07 01:47:07,4
2020-02-07 01:48:08,3
2020-02-07 01:49:07,3
2020-02-07 01:50:09,3
2020-02-07 01:51:07,3
2020-02-07 01:52:07,2
2020-02-07 01:53:07,1
2020-02-07 01:54:09,3
2020-02-07 01:55:07,2
2020-02-07 01:56:08,2
2020-02-07 01:57:07,2
2020-02-07 01:58:07,1
2020-02-07 01:59:07,3
2020-02-07 02:00:08,2
2020-02-07 02:01:08,1
2020-02-07 02:02:07,2
2020-02-07 02:03:08,1
2020-02-07 02:04:07,3
2020-02-07 02:05:08,3
2020-02-07 02:06:08,2
2020-02-07 02:07:07,3
2020-02-07 02:08:07,3
2020-02-07 02:09:08,2
2020-02-07 02:10:08,4
2020-02-07 02:11:07,4
2020-02-07 02:12:07,2
2020-02-07 02:13:07,4
2020-02-07 02:14:08,4
2020-02-07 02:15:07,3
2020-02-07 02:16:08,4
2020-02-07 02:17:07,4
2020-02-07 02:18:08,3
2020-02-07 02:19:09,2
2020-02-07 02:20:08,3
2020-02-07 02:21:08,3
2020-02-07 02:22:07,2
2020-02-07 02:23:08,4
2020-02-07 02:24:07,4
2020-02-07 02:25:08,2
2020-02-07 02:26:07,4
2020-02-07 02:27:08,3
2020-02-07 02:28:08,2
2020-02-07 02:29:07,1
2020-02-07 02:30:08,3
2020-02-07 02:31:07,3
2020-02-07 02:32:08,2
2020-02-07 02:33:07,5
2020-02-07 02:34:07,4
2020-02-07 02:35:07,3
2020-02-07 02:36:08,5
2020-02-07 02:37:07,4
2020-02-07 02:38:08,4
2020-02-07 02:39:07,3
2020-02-07 02:40:08,5
2020-02-07 02:41:07,5
2020-02-07 02:42:08,3
2020-02-07 02:43:07,4
2020-02-07 02:44:07,4
2020-02-07 02:45:07,4
2020-02-07 02:46:08,3
2020-02-07 02:47:07,5
2020-02-07 02:48:07,5
2020-02-07 02:49:08,3
2020-02-07 02:50:08,4
2020-02-07 02:51:07,4
2020-02-07 02:52:07,4
2020-02-07 02:53:08,3
2020-02-07 02:54:07,5
2020-02-07 02:55:07,4
2020-02-07 02:56:08,3
2020-02-07 02:57:07,5
2020-02-07 02:58:07,5
2020-02-07 02:59:07,4
2020-02-07 03:00:08,3
2020-02-07 03:01:07,5
2020-02-07 03:02:08,4
2020-02-07 03:03:07,3
2020-02-07 03:04:08,5
2020-02-07 03:05:07,5
2020-02-07 03:06:08,4
2020-02-07 03:07:07,4
2020-02-07 03:08:07,5
2020-02-07 03:09:08,5
2020-02-07 03:10:08,4
2020-02-07 03:11:07,6
2020-02-07 03:12:07,5
2020-02-07 03:13:08,3
2020-02-07 03:14:07,2
2020-02-07 03:15:07,4
2020-02-07 03:16:07,3
2020-02-07 03:17:07,2
2020-02-07 03:18:08,4
2020-02-07 03:19:07,3
2020-02-07 03:20:07,4
2020-02-07 03:21:07,4
2020-02-07 03:22:07,3
2020-02-07 03:23:08,5
2020-02-07 03:24:07,5
2020-02-07 03:25:08,5
2020-02-07 03:26:07,4
2020-02-07 03:27:08,4
2020-02-07 03:28:07,3
2020-02-07 03:29:07,5
2020-02-07 03:30:08,5
2020-02-07 03:31:07,5
2020-02-07 03:32:08,4
2020-02-07 03:33:07,2
2020-02-07 03:34:07,4
2020-02-07 03:35:08,5
2020-02-07 03:36:07,5
2020-02-07 03:37:07,4
2020-02-07 03:38:07,4
2020-02-07 03:39:07,3
2020-02-07 03:40:07,5
2020-02-07 03:41:07,5
2020-02-07 03:42:07,5
2020-02-07 03:43:08,4
2020-02-07 03:44:07,3
2020-02-07 03:45:08,4
2020-02-07 03:46:07,3
2020-02-07 03:47:07,2
2020-02-07 03:48:08,4
2020-02-07 03:49:07,3
2020-02-07 03:50:08,2
2020-02-07 03:51:07,4
2020-02-07 03:52:07,2
2020-02-07 03:53:08,4
2020-02-07 03:54:07,5
2020-02-07 03:55:08,4
2020-02-07 03:56:07,3
2020-02-07 03:57:08,4
2020-02-07 03:58:07,5
2020-02-07 03:59:07,4
2020-02-07 04:00:08,3
2020-02-07 04:01:08,5
2020-02-07 04:02:07,5
2020-02-07 04:03:07,3
2020-02-07 04:04:07,3
2020-02-07 04:05:08,5
2020-02-07 04:06:07,4
2020-02-07 04:07:07,3
2020-02-07 04:08:08,2
2020-02-07 04:09:07,4
2020-02-07 04:10:08,3
2020-02-07 04:11:07,2
2020-02-07 04:12:07,4
2020-02-07 04:13:08,2
2020-02-07 04:14:07,4
2020-02-07 04:15:08,3
2020-02-07 04:16:07,3
2020-02-07 04:17:08,5
2020-02-07 04:18:07,5
2020-02-07 04:19:07,5
2020-02-07 04:20:08,4
2020-02-07 04:21:07,4
2020-02-07 04:22:07,3
2020-02-07 04:23:07,5
2020-02-07 04:24:08,5
2020-02-07 04:25:07,5
2020-02-07 04:26:07,4
2020-02-07 04:27:07,3
2020-02-07 04:28:07,5
2020-02-07 04:29:07,5
2020-02-07 04:30:08,4
2020-02-07 04:31:07,3
2020-02-07 04:32:07,5
2020-02-07 04:33:07,5
2020-02-07 04:34:07,4
2020-02-07 04:35:07,3
2020-02-07 04:36:08,5
2020-02-07 04:37:07,6
2020-02-07 04:38:07,4
2020-02-07 04:39:07,3
2020-02-07 04:40:08,5
2020-02-07 04:41:07,4
2020-02-07 04:42:07,4
2020-02-07 04:43:07,3
2020-02-07 04:44:07,6
2020-02-07 04:45:07,5
2020-02-07 04:46:08,5
2020-02-07 04:47:07,4
2020-02-07 04:48:07,3
2020-02-07 04:49:07,5
2020-02-07 04:50:08,4
2020-02-07 04:51:07,4
2020-02-07 04:52:08,3
2020-02-07 04:53:07,5
2020-02-07 04:54:07,4
2020-02-07 04:55:08,4
2020-02-07 04:56:07,3
2020-02-07 04:57:08,5
2020-02-07 04:58:07,5
2020-02-07 04:59:08,4
2020-02-07 05:01:08,4
2020-02-07 05:02:07,4
2020-02-07 05:03:08,5
2020-02-07 05:04:07,6
2020-02-07 05:05:07,9
2020-02-07 05:06:07,9
2020-02-07 05:07:07,9
2020-02-07 05:08:08,9
2020-02-07 05:09:07,8
2020-02-07 05:10:08,8
2020-02-07 05:11:07,8
2020-02-07 05:12:07,9
2020-02-07 05:13:07,9
2020-02-07 05:14:08,9
2020-02-07 05:15:08,8
2020-02-07 05:16:07,6
2020-02-07 05:17:07,5
2020-02-07 05:18:07,6
2020-02-07 05:19:07,7
2020-02-07 05:20:08,7
2020-02-07 05:21:07,6
2020-02-07 05:22:07,5
2020-02-07 05:23:07,7
2020-02-07 05:24:07,7
2020-02-07 05:25:07,7
2020-02-07 05:26:08,7
2020-02-07 05:27:07,7
2020-02-07 05:28:07,7
2020-02-07 05:29:07,7
2020-02-07 05:30:08,6
2020-02-07 05:31:07,7
2020-02-07 05:32:08,9
2020-02-07 05:33:07,9
2020-02-07 05:34:07,8
2020-02-07 05:35:08,8
2020-02-07 05:36:07,8
2020-02-07 05:37:07,8
2020-02-07 05:38:08,7
2020-02-07 05:39:07,6
2020-02-07 05:40:07,8
2020-02-07 05:41:08,8
2020-02-07 05:42:08,8
2020-02-07 05:43:07,8
2020-02-07 05:44:08,8
2020-02-07 05:45:07,8
2020-02-07 05:46:08,8
2020-02-07 05:47:07,8
2020-02-07 05:48:07,7
2020-02-07 05:49:08,7
2020-02-07 05:50:08,7
2020-02-07 05:51:07,7
2020-02-07 05:52:07,6
2020-02-07 05:53:07,6
2020-02-07 05:54:08,6
2020-02-07 05:55:07,6
2020-02-07 05:56:07,6
2020-02-07 05:57:07,4
2020-02-07 05:58:07,3
2020-02-07 05:59:07,5
2020-02-07 06:00:09,5
2020-02-07 06:01:07,5
2020-02-07 06:02:07,5
2020-02-07 06:03:08,5
2020-02-07 06:04:07,5
2020-02-07 06:05:08,5
2020-02-07 06:06:07,3
2020-02-07 06:07:08,5
2020-02-07 06:08:07,5
2020-02-07 06:09:08,5
2020-02-07 06:10:08,4
2020-02-07 06:11:07,4
2020-02-07 06:12:07,3
2020-02-07 06:13:07,2
2020-02-07 06:14:07,4
2020-02-07 06:15:08,4
2020-02-07 06:16:07,4
2020-02-07 06:17:07,4
2020-02-07 06:18:07,5
2020-02-07 06:19:07,4
2020-02-07 06:20:08,2
2020-02-07 06:21:07,4
2020-02-07 06:22:07,4
2020-02-07 06:23:07,6
2020-02-07 06:24:07,5
2020-02-07 06:25:09,5
2020-02-07 06:26:08,5
2020-02-07 06:27:07,5
2020-02-07 06:28:07,4
2020-02-07 06:29:08,2
2020-02-07 06:30:08,5
2020-02-07 06:31:07,5
2020-02-07 06:32:07,5
2020-02-07 06:33:09,3
2020-02-07 06:34:07,2
2020-02-07 06:35:09,4
2020-02-07 06:36:07,3
2020-02-07 06:37:08,2
2020-02-07 06:38:07,4
2020-02-07 06:39:07,2
2020-02-07 06:40:08,3
2020-02-07 06:41:07,3
2020-02-07 06:42:07,2
2020-02-07 06:43:08,4
2020-02-07 06:44:07,3
2020-02-07 06:45:08,2
2020-02-07 06:46:07,4
2020-02-07 06:47:07,2
2020-02-07 06:48:07,4
2020-02-07 06:49:07,3
2020-02-07 06:50:07,2
2020-02-07 06:51:08,4
2020-02-07 06:52:07,3
2020-02-07 06:53:08,2
2020-02-07 06:54:07,4
2020-02-07 06:55:11,3
2020-02-07 06:56:07,5
2020-02-07 06:57:07,5
2020-02-07 06:58:08,5
2020-02-07 06:59:07,4
2020-02-07 07:00:07,4
2020-02-07 07:01:08,3
2020-02-07 07:02:07,4
2020-02-07 07:03:07,4
2020-02-07 07:04:08,4
2020-02-07 07:05:07,3
2020-02-07 07:06:07,1
2020-02-07 07:07:07,3
2020-02-07 07:08:07,2
2020-02-07 07:09:07,1
2020-02-07 07:10:08,3
2020-02-07 07:11:07,1
2020-02-07 07:12:08,3
2020-02-07 07:13:07,2
2020-02-07 07:14:08,1
2020-02-07 07:15:07,3
2020-02-07 07:16:07,2
2020-02-07 07:17:07,1
2020-02-07 07:18:08,2
2020-02-07 07:19:07,3
2020-02-07 07:20:07,3
2020-02-07 07:21:07,3
2020-02-07 07:22:07,1
2020-02-07 07:23:07,4
2020-02-07 07:24:08,4
2020-02-07 07:25:08,4
2020-02-07 07:26:07,6
2020-02-07 07:27:07,4
2020-02-07 07:28:08,4
2020-02-07 07:29:07,4
2020-02-07 07:30:14,3
2020-02-07 07:31:07,1
2020-02-07 07:32:08,3
2020-02-07 07:33:07,2
2020-02-07 07:34:07,1
2020-02-07 07:35:08,4
2020-02-07 07:36:07,4
2020-02-07 07:37:07,3
2020-02-07 07:38:07,3
2020-02-07 07:39:07,2
2020-02-07 07:40:07,4
2020-02-07 07:41:07,4
2020-02-07 07:42:07,3
2020-02-07 07:43:07,2
2020-02-07 07:44:08,1
2020-02-07 07:45:08,3
2020-02-07 07:46:07,2
2020-02-07 07:47:07,0
2020-02-07 07:48:07,2
2020-02-07 07:49:08,1
2020-02-07 07:50:07,3
2020-02-07 07:51:08,2
2020-02-07 07:52:07,1
2020-02-07 07:53:07,3
2020-02-07 07:54:08,1
2020-02-07 07:55:07,3
2020-02-07 07:56:08,2
2020-02-07 07:57:07,1
2020-02-07 07:58:08,3
2020-02-07 07:59:07,1
2020-02-07 08:00:08,3
2020-02-07 08:01:08,2
2020-02-07 08:02:07,1
2020-02-07 17:41:09,0
2020-02-07 17:42:09,0
2020-02-07 17:43:09,1
2020-02-07 17:44:09,1
2020-02-07 17:45:09,1
2020-02-07 17:46:09,0
2020-02-07 17:47:09,0
2020-02-07 17:48:09,0
2020-02-07 17:49:07,1
2020-02-07 17:50:12,1
2020-02-07 17:51:09,0
2020-02-07 17:52:08,0
2020-02-07 17:53:07,0
2020-02-07 17:54:07,1
2020-02-07 17:55:08,1
2020-02-07 17:56:07,0
2020-02-07 17:57:08,1
2020-02-07 17:58:08,1
2020-02-07 17:59:07,1
2020-02-07 18:00:12,0
2020-02-07 18:01:10,0
2020-02-07 18:02:07,1
2020-02-07 18:03:07,0
2020-02-07 18:04:07,4
2020-02-07 18:05:08,4
2020-02-07 18:06:08,4
2020-02-07 18:07:07,4
2020-02-07 18:08:08,3
2020-02-07 18:09:07,3
2020-02-07 18:10:12,3
2020-02-07 18:11:09,3
2020-02-07 18:12:07,2
2020-02-07 18:13:07,2
2020-02-07 18:14:08,2
2020-02-07 18:15:08,2
2020-02-07 18:16:08,1
2020-02-07 18:17:07,1
2020-02-07 18:18:07,0
2020-02-07 18:19:08,1
2020-02-07 18:20:12,0
2020-02-07 18:21:08,0
2020-02-07 18:22:07,0
2020-02-07 18:23:08,1
2020-02-07 18:24:07,0
2020-02-07 18:25:08,0
2020-02-07 18:26:08,0
2020-02-07 18:27:07,0
2020-02-07 18:28:07,1
2020-02-07 18:29:08,0
2020-02-07 18:30:11,0
2020-02-07 18:31:08,0
2020-02-07 18:32:08,0
2020-02-07 18:33:07,0
2020-02-07 18:34:07,0
2020-02-07 18:35:08,0
2020-02-07 18:36:08,0
2020-02-07 18:37:08,0
2020-02-07 18:38:07,0
2020-02-07 18:39:07,0
2020-02-07 18:40:11,0
2020-02-07 18:41:08,0
2020-02-07 18:42:08,0
2020-02-07 18:43:07,0
2020-02-07 18:44:08,0
2020-02-07 18:45:08,0
2020-02-07 18:46:07,0
2020-02-07 18:47:07,0
2020-02-07 18:48:07,0
2020-02-07 18:49:08,0
2020-02-07 18:50:12,0
2020-02-07 18:51:07,1
