timestamp,T1,T2,frequency,readout_error,prob_meas0_prep1,prob_meas1_prep0,T1.date,T2.date,frequency.date,readout_error.date,prob_meas0_prep1.date,prob_meas1_prep0.date
2020-02-11T16:21:52+00:00,100.760603819472,148.90372756375,4.94005116093889,0.01,0.016,0.004,2020-02-11T07:05:05+00:00,2020-02-11T07:06:13+00:00,2020-02-11T07:20:04+00:00,2020-02-11T07:04:52+00:00,2020-02-11T07:04:52+00:00,2020-02-11T07:04:52+00:00
2020-02-12T11:00:13+00:00,96.4326253383873,112.155743899328,4.94005416209522,0.018,0.032,0.004,2020-02-12T07:56:45+00:00,2020-02-12T08:12:46+00:00,2020-02-12T10:04:22+00:00,2020-02-12T07:48:24+00:00,2020-02-12T07:48:24+00:00,2020-02-12T07:48:24+00:00
