Q0,Q1,Q2,Q3,Q4
0,0.00905608696104165,0,0,0
0.00905608696104165,0,0.00948261517672674,0.0302816869069991,0
0,0.00948261517672674,0,0,0
0,0.0302816869069991,0,0,0.0147604193400115
0,0,0,0.0147604193400115,0
