Name,Freq,T1,T2,U1 err,U2 err,U3 err,Readout err
Q0,5.10013326778593,57.0500935515442,12.5079008115466,0,0.000609328298779665,0.00121865659755933,0.016
Q1,5.23853889481799,50.6693992757431,63.939916252128,0,0.0011089497339425,0.00221789946788499,0.0345
Q2,5.0328752795495,51.9182379167645,78.3863152474225,0,0.00119630281726162,0.00239260563452323,0.0205
Q3,4.89611924159274,74.5553157682656,59.8118515386755,0,0.000364386679243112,0.000728773358486224,0.0645
Q4,5.02632671338474,51.6903622353313,39.8016469052273,0,0.00116981788124195,0.0023396357624839,0.0355
Q5,5.06685269077263,20.2656018242496,33.7908806376454,0,0.00270590613986058,0.00541181227972115,0.0495
Q6,4.9240163064932,68.1022667508461,69.6228333775071,0,0.00135434435557001,0.00270868871114002,0.04
Q7,4.97447612924271,44.9538678643875,70.1018893832719,0,0.00119140773354378,0.00238281546708756,0.0195000000000001
Q8,4.7404216099451,42.3547871719205,79.0511218632279,0,0.000734123332245976,0.00146824666449195,0.2585
Q9,4.96335280606892,42.7450620823894,63.3200037105073,0,0.00219412607672883,0.00438825215345765,0.2325
Q10,4.94518902621863,67.0849442284915,58.683797837854,0,0.000929060528162838,0.00185812105632568,0.0469999999999999
Q11,5.00496863819922,67.0205140272053,89.2753988219662,0,0.0013663166147364,0.00273263322947281,0.0415
Q12,4.75999313905968,69.4977095076819,45.9553472344232,0,0.0011566938109726,0.0023133876219452,0.046
Q13,4.96835256362535,27.6566091978655,56.1847494011389,0,0.00206003228403984,0.00412006456807968,0.091
Q14,5.00146010495403,36.0661877866939,35.3623886451865,0,0.000810575225002813,0.00162115045000563,0.0515
